index,	 stop time ,	 position ,	 velocity 
 26,	 10.0000,	 0.4048,	-0.6271 
 27,	 10.0000,	 3.8691,	 0.3759 
 28,	 6.0000,	-0.0184,	-0.3253 
 29,	 2.0000,	-0.1433,	-1.0657 
 30,	 10.0000,	 2.5190,	-0.4183 
 31,	 6.0000,	 5.0691,	 0.4181 
 32,	 7.0000,	 5.4058,	 1.2540 
 33,	 8.0000,	 5.5338,	 1.3078 
 34,	 8.0000,	 5.2677,	 0.3635 
 35,	 10.0000,	 4.5596,	 0.7977 
 36,	 10.0000,	 1.1729,	-0.6306 
 37,	 10.0000,	 0.9602,	-1.4306 
 38,	 10.0000,	 3.5187,	 0.9339 
 39,	 4.0000,	-0.1026,	-1.0322 
 40,	 7.0000,	-0.3870,	-0.9382 
 41,	 10.0000,	 1.9912,	-1.0421 
 42,	 10.0000,	 3.4310,	 0.0451 
 43,	 10.0000,	 2.3369,	 0.1432 
 44,	 10.0000,	 1.8027,	 0.3743 
 45,	 5.0000,	 5.2450,	 0.6122 
 46,	 10.0000,	 0.3039,	-0.9617 
 47,	 6.0000,	 5.0222,	 1.2897 
 48,	 10.0000,	 2.7611,	 0.1460 
 49,	 6.0000,	 5.1042,	 0.6589 
 50,	 10.0000,	 2.7099,	-0.2337 
 51,	 5.0000,	-0.5170,	-0.8856 
 52,	 10.0000,	 0.8392,	 0.0389 
 53,	 10.0000,	 2.3934,	 1.1245 
 54,	 10.0000,	 1.2866,	-0.4299 
 55,	 6.0000,	-0.0435,	-0.9971 
 56,	 5.0000,	-0.7668,	-0.9621 
 57,	 10.0000,	 3.1982,	-0.0695 
 58,	 10.0000,	 4.3640,	-0.3512 
 59,	 5.0000,	 5.1777,	 0.2855 
 60,	 5.0000,	 5.0007,	 0.4635 
 61,	 10.0000,	 2.8946,	 0.1321 
 62,	 9.0000,	-0.8105,	-0.8131 
 63,	 4.0000,	-1.7458,	-2.1516 
 64,	 10.0000,	 1.8982,	-0.2709 
 65,	 8.0000,	 5.3409,	 0.7185 
 66,	 4.0000,	-0.8614,	-1.0467 
 67,	 10.0000,	 4.2261,	 1.3831 
 68,	 4.0000,	-0.8630,	-1.8400 
 69,	 3.0000,	 5.1961,	 1.4186 
 70,	 9.0000,	 6.3353,	 1.6680 
